I Like Me Better,dance pop,91.97,183
Fool,indie pop,136.099,200
LA Devotee,pop punk,175.998,186
Good Nights (feat. Mascolo),edm,101.015,144
Shelter,big room,199.526,100
Upside Down,dance pop,73.978,155
Animal Spirits,funk,100.856,83
Burn the House Down,modern rock,184.353,101
Knives,dance pop,136.01,68
Say Something,dance pop,97.04,116
Real Name,dance pop,160.028,83
Better Places (feat. Nvdes),big room,99.974,83
Bigger Picture,catstep,97.333,94
(Fuck A) Silver Lining,pop punk,105.092,199
NO EXCUSES,dance pop,115.016,86
Obsession (feat. Jon Bellion),chicano rap,101.999,78
Better Together,indiecoustica,109.958,64
Lost In Japan,canadian pop,105.084,87
Electric Church,dance pop,116.975,74
Daisy,complextro,112.067,66
Sober Up,modern rock,93.006,65
No Roots,modern rock,115.958,58
Ready for Us (feat. Sykes),catstep,99.986,73
Say Amen (Saturday Night),pop punk,167.965,155
Good Grief - Don Diablo Remix,metropopolis,125.986,58
Paris in the Rain,dance pop,76.309,74
Pink Cloud (feat. Max Collins),bass trap,82.444,65
Sorry Not Sorry,dance pop,144.004,56
Leaving,edm,140.776,49
Angela (Single Version),folk-pop,130.308,68
Tell Me You Love Me,big room,122.066,79
Weak,modern rock,123.979,98
Where It All Goes,dance pop,110.023,85
Morrison,dance pop,109.989,77
No More,big room,127.981,76
Iron & Steel,electropop,140.191,52
Are We There Yet,dance pop,124.028,61
Peace Signs,dance pop,105.898,66
Feel It Still,indie pop,79.028,78
Sleepy Eyes,edm,97.023,77
Never Loved Me,acoustic,114.926,82
Don't Stop Me Now - Remastered,glam rock,156.311,53
Craziest Day I Ever Had,big room,140.049,67
Don't Matter - Recorded at Spotify Studios NYC,dance pop,75.919,57
Dancing's Not A Crime,pop punk,94.095,99
Borrowed Lives (feat. NVDES),big room,127.991,64
Killing Giants (feat. Richard Caddock),catstep,179.965,68
"Someway, Somehow",kawaii future bass,172.069,59
Peanut Butter Jelly,big room,127.96,59
Eyes To The Sky,modern rock,85.933,106
Head Above Water,acoustic,95.033,59
First Date,modern rock,95.594,76
Real Shit,indie rockism,131.979,49
Better Days,canadian contemporary country,95.984,75
Golden Days,pop punk,128.006,63
To Be Alive (feat. Aaron Richards),catstep,102.955,68
Shaky Ground,shimmer pop,116.05,62
Some Kind of Magic (feat. MYZICA),catstep,168.019,59
Nocturne (Pierce Fulton Remix),indie poptimism,124.94,62
Homesick,dance pop,85.728,50
The Story Never Ends,dance pop,119.945,62
Them Dirty Bones,acoustic,97.997,55
Feeling Electric,indie poptimism,97.055,73
Rhythm Of Love,neo mellow,171.878,75
Roaring 20s,pop punk,83.19,113
What I Got,reggae fusion,95.721,62
Black Card,indie rockism,157.998,61
Just Like That (feat. Johnny Graves),bass trap,159.988,66
While You Count Sheep,modern rock,97.018,71
Life in Letters,big room,120.031,70
Unbelievable,modern rock,118.029,58
Nobody But Me - Alternate w/Trumpet Version,adult standards,94.096,41
Walk On Water,modern rock,139.98,66
Lifestyles of the Rich & Famous,alternative metal,106.22,61
Sinking,dance pop,101.495,65
Crazy=Genius,pop punk,114.109,66
Chasing Fire,dance pop,125.965,64
Story,tropical pop edm,179.871,62
Hand Of God - Outro,modern rock,77.482,57
Wake Up,indie poptimism,99.957,66
Classic,australian pop,102.071,82
Sweets (Soda Pop) - Extended Mix,brostep,128.014,43
Breathe,big room,152.906,61
Mr. Brightside,indie rock,148.112,46
Ready to Go [Get Me Out Of My Mind],pop punk,135.01,81
Verge,modern rock,128.014,56
"Baby, You Make Me Crazy",pop,169.745,63
We Are the Dream (TheFatRat Remix),catstep,94.995,58
Shut Your Mouth,dance pop,172.027,56
"Sugar, We're Goin Down",pop punk,161.977,61
